/* MODELED VALUE AT SENSOR LOCATION:
Date/Time (sampling start)	;	Date/Time (sampling end)	;	Obs duration [min]	;	Modeled values
17-02-14 09:57	;	17-02-14 09:59	;	1	;	1281175.76589791    ;
17-02-14 09:59	;	17-02-14 10:00	;	1	;	256235.190196097    ;
17-02-14 10:00	;	17-02-14 10:01	;	1	;	51250.5143846513    ;
17-02-14 10:01	;	17-02-14 10:03	;	1	;	10250.7590917337    ;
17-02-14 10:03	;	17-02-14 10:04	;	1	;	2054.4259071616     ;
17-02-14 10:04	;	17-02-14 10:06	;	1	;	411.1992826599      ;
17-02-14 10:06	;	17-02-14 10:07	;	1	;	83.0174462946       ;
17-02-14 10:07	;	17-02-14 10:09	;	1	;	24.3455863619       ;
17-02-14 10:09	;	17-02-14 10:10	;	1	;	8.0515721802        ;
17-02-14 10:10	;	17-02-14 10:12	;	1	;	4.2783892595        ;
17-02-14 10:12	;	17-02-14 10:13	;	1	;	6.6845967806        ;
17-02-14 10:13	;	17-02-14 10:14	;	1	;	8.5716971131        ;
17-02-14 10:14	;	17-02-14 10:16	;	1	;	6.7788729664        ;
17-02-14 10:16	;	17-02-14 10:17	;	1	;	3.4018116255        ;
17-02-14 10:17	;	17-02-14 10:19	;	1	;	3.9416690091        ;
17-02-14 10:19	;	17-02-14 10:20	;	1	;	5.1783946592        ;
17-02-14 10:20	;	17-02-14 10:22	;	1	;	10.7500452365       ;
17-02-14 10:22	;	17-02-14 10:23	;	1	;	2.3109347593        ;
17-02-14 10:23	;	17-02-14 10:24	;	1	;	5.1920301101        ;
17-02-14 10:24	;	17-02-14 10:26	;	1	;	7.1441043808        ;
17-02-14 10:26	;	17-02-14 10:27	;	1	;	1.8664008507        ;
17-02-14 10:27	;	17-02-14 10:29	;	1	;	8.8280863764        ;
17-02-14 10:29	;	17-02-14 10:30	;	1	;	5.3607470949        ;
17-02-14 10:30	;	17-02-14 10:32	;	1	;	9.1496660795        ;
17-02-14 10:32	;	17-02-14 10:33	;	1	;	6.0249150815        ;
17-02-14 10:33	;	17-02-14 10:35	;	1	;	2.5567266595        ;
17-02-14 10:35	;	17-02-14 10:36	;	1	;	1.3396013126        ;
17-02-14 10:36	;	17-02-14 10:37	;	1	;	10.0345247065       ;
17-02-14 10:37	;	17-02-14 10:39	;	1	;	10.7056772916       ;
17-02-14 10:39	;	17-02-14 10:40	;	1	;	11.5131431073       ;
17-02-14 10:40	;	17-02-14 10:42	;	1	;	7.2883904595        ;
17-02-14 10:42	;	17-02-14 10:43	;	1	;	9.1858785327        ;
17-02-14 10:43	;	17-02-14 10:45	;	1	;	6.9038544634        ;
17-02-14 10:45	;	17-02-14 10:46	;	1	;	7.7085100574        ;
17-02-14 10:46	;	17-02-14 10:48	;	1	;	3.2554994196        ;
17-02-14 10:48	;	17-02-14 10:49	;	1	;	3.79739796          ;
17-02-14 10:49	;	17-02-14 10:50	;	1	;	0.9481782884        ;
17-02-14 10:50	;	17-02-14 10:52	;	1	;	5.3453470785        ;
                                                                    
