/* METEO_STATION DESCRIPTION:
Date/Time (sampling start);	Date/Time (sampling end);	Obs duration [min];	Temperature (C)	;	Wind speed (m s-1) 	;	Mixing height (m)	;	PG stability class 
17-02-14 10:23	;17-02-14 10:24	;1;	7	;	2.6	;	1200	;	6
17-02-14 10:24	;17-02-14 10:26	;1;	8	;	2.8	;	1200	;	5
17-02-14 10:26	;17-02-14 10:27	;1;	9	;	4.3	;	1200	;	4
17-02-14 10:27	;17-02-14 10:29	;1;	9	;	4.8	;	1800	;	3
17-02-14 10:29	;17-02-14 10:30	;1;	10	;	7.1	;	1700	;	4
17-02-14 10:30	;17-02-14 10:32	;1;	11	;	7.5	;	2000	;	4
17-02-14 10:32	;17-02-14 10:33	;1;	12	;	5.1	;	2000	;	4
17-02-14 10:33	;17-02-14 10:35	;1;	13	;	5.4	;	2000	;	4
17-02-14 10:35	;17-02-14 10:36	;1;	14	;	5.7	;	2000	;	4
17-02-14 10:36	;17-02-14 10:37	;1;	15	;	5.8	;	2400	;	4
17-02-14 10:37	;17-02-14 10:39	;1;	16	;	7.3	;	2700	;	4
17-02-14 10:39	;17-02-14 10:40	;1;	17	;	7.8	;	3000	;	4
17-02-14 10:40	;17-02-14 10:42	;1;	23	;	1.9	;	250	;	4
17-02-14 10:42	;17-02-14 10:43	;1;	24	;	1.9	;	250	;	4
17-02-14 10:43	;17-02-14 10:45	;1;	1	;	2.9	;	250	;	4
17-02-14 10:45	;17-02-14 10:46	;1;	2	;	2.8	;	250	;	4
17-02-14 10:46	;17-02-14 10:48	;1;	3	;	2.9	;	250	;	4
17-02-14 10:48	;17-02-14 10:49	;1;	4	;	3.5	;	250	;	4
17-02-14 10:49	;17-02-14 10:50	;1;	5	;	3.5	;	250	;	4
17-02-14 10:50	;17-02-14 10:52	;1;	6	;	3.5	;	250	;	4
17-02-14 10:52	;17-02-14 10:53	;1;	7	;	3.1	;	250	;	4
